source,bbvar,nblocks,flux_mean,flux_std,flux_min,flux_max,nearby_count,nfft_peaks
J1306.9-5806,1.9058361431234516e-06,1,0.0,0.0,0.0,0.0,5,3
J1307.1-0344,2386.412482799472,26,12.5,7.5,0.0,25.0,5,3
J1307.4-5016,159.9423008067683,7,3.0,2.0,0.0,6.0,5,2
J1307.6-4259,132.01088607594323,10,4.5,2.8722813232690143,0.0,9.0,5,2
J1308.1-3801,0.00014766443086955405,1,0.0,0.0,0.0,0.0,5,2
J1308.3-6706,345.44380556183836,14,6.5,4.031128874149275,0.0,13.0,5,2
J1308.4+3547,1457.2152216846828,37,18.0,10.677078252031311,0.0,36.0,5,3
J1308.6-5729,3.625452518463135e-05,1,0.0,0.0,0.0,0.0,5,2
J1308.8+0347,-0.0,1,0.0,0.0,0.0,0.0,5,2
J1309.0-6221,0.00038185715675354004,1,0.0,0.0,0.0,0.0,5,2
J1309.4+4305,127.0808337303497,5,2.0,1.4142135623730951,0.0,4.0,5,2
J1309.6+3718,55.83084019188155,5,2.0,1.4142135623730951,0.0,4.0,5,2
J1309.7+1153,-0.0,1,0.0,0.0,0.0,0.0,5,2
J1310.2+6219,0.0015452174193342216,1,0.0,0.0,0.0,0.0,5,2
J1310.2-1157,4.235678352415562e-05,1,0.0,0.0,0.0,0.0,5,2
J1310.5+3220,38468.81779652597,94,46.5,27.13392710243027,0.0,93.0,5,3
J1310.5-7917,0.5138474711840821,2,0.5,0.5,0.0,1.0,5,2
J1310.7+2449,-0.0,1,0.0,0.0,0.0,0.0,5,2
J1310.7-0451,3786.9718884031713,46,22.5,13.275918047351754,0.0,45.0,5,3
J1310.8-5552,335.54869681336174,12,5.5,3.452052529534663,0.0,11.0,5,2
J1310.9+5516,34.07607937802612,3,1.0,0.816496580927726,0.0,2.0,5,2
J1310.9-3337,89.30258492952899,7,3.0,2.0,0.0,6.0,5,2
J1311.0+0034,0.0002423776313662529,1,0.0,0.0,0.0,0.0,5,2
J1311.0+3234,30284.95521460875,75,37.0,21.64871050817269,0.0,74.0,5,3
